# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
long dildo	162	-
young rimming young	162	-
huge anal beads	161	-
egg from urethra	161	-
porn studio	161	-
pussy squish	161	-
pumpkin breasts	161	-
younger andromorph	160	-
fucked to exhaustion	160	-
planet penetrated	160	-
saliva covered	160	-
anus held open	160	-
tentacles from pussy	160	-
manual masturbation	160	-
tapering tentacles	160	-
cum drop	160	-
cum in fallopian tubes	160	-
penis under clothes	159	-
sex on table	159	-
ball bondage	159	-
after cum kiss	158	-
teatfuck	158	-
implied vibrator	157	sex_objects
gastropod penis	157	-
penetrable sex toy in mouth	157	-
implied nudity	157	-
taur penetrating human	157	-
penisjob	157	-
hyper deltoids	156	-
forced fingering	156	-
musky body	156	-
hand under shorts	155	groping
assertive humanoid	155	-
cum on boots	155	-
on breasts	155	-
kiss mark on anus	155	-
penis in sheath	155	-
rubbing breast	155	-
hyper triceps	155	-
implied tail plug	154	sex_objects
exposed organs	154	-
endless cum	154	-
catheter in urethra	154	-
breast to breast	154	-
muscular maleherm	154	-
threaded by tongue	154	-
graded dildo	154	-
ribbed dildo	154	-
pokeball vore	154	-
farting during sex	154	-
hat on penis	154	-
fingers in pussy	154	-
office sex	153	-
glass of milk	153	-
tunnel plug	153	-
magical masturbation	153	-
stealth fellatio	152	simulated_sex_acts
hands on penis	152	sexual_activity
hyper condom	152	-
beak growth	152	-
butt smack	152	-
unbuttoned shorts	152	-
tentacle spitroast	152	-
cum on screen	152	-
mostly nude herm	152	-
older herm	152	-
sex during birth	152	-
vaginal stretching	152	-
cum in own vagina	151	-
cum while sheathed	151	-
clitoris rubbing	151	-
thick foreskin	151	-
cum on bedding	151	-
covering penis	150	-
1 finger fingering	150	-
gynomorph rape	150	-
hyper foreskin	150	-
massaging	150	-
closed sheath slit	150	-
imminent ejaculation	149	-
1691 position	149	-
fellatio while penetrating	149	-
belly fucking	149	-
female virgin	149	-
