# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
cum on vulva	4393	-
breasts and teats	4380	-
overweight intersex	4354	-
anthro pov	4339	-
butt sniffing	4326	-
oral only	4263	-
gynomorph penetrating gynomorph	4238	-
fucking machine	4236	-
necklace only	4225	-
legwear only	4222	-
hyper pregnancy	4215	-
sandwich position	4214	-
barely visible penis	4206	-
egg insertion	4157	-
cum through clothing	4143	-
mature intersex	4140	-
tentacle in vagina	4137	-
glistening areola	4136	-
wand vibrator	4122	-
cloacal penis	4118	-
anatomically correct anus	4081	-
consistent pov	4051	-
handwear only	4036	-
big pussy	3977	-
butt shot	3952	-
gynomorph anthro	3926	-
cetacean genitalia	3915	-
glistening nipples	3892	-
hand on own butt	3879	-
throat swabbing	3863	-
anal beads in ass	3819	-
4 breasts	3793	-
hyper nipples	3773	-
genital scar	3769	-
stretched pussy	3760	-
freckled breasts	3699	-
musky penis	3699	-
public erection	3690	-
humanoid penetrating human	3686	-
penis tentacles	3653	-
ball suck	3652	-
nose to anus	3649	-
balls on face	3626	-
mature gynomorph	3612	-
overweight gynomorph	3604	-
mostly nude male	3576	-
male raping female	3570	-
nude human	3550	-
herm/male	3549	-
piledriver position	3546	-
submissive intersex	3522	-
beak fetish	3497	-
restrained by tentacles	3492	-
tight shorts	3491	-
parallel sex	3482	-
darkened penis	3479	-
cetacean penis	3435	-
cloacal penetration	3433	-
butt cleavage	3431	-
translucent penis	3406	-
extreme penetration	3382	-
standing doggystyle	3371	-
submissive pov	3364	-
two tone vulva	3356	-
herm/female	3354	-
penis on tongue	3341	-
ovipositor	3337	-
bulging breasts	3318	-
barely visible anus	3313	-
breast lick	3311	-
hyper bulge	3305	-
excessive precum	3305	-
beak sex	3297	-
pussyjob	3295	-
big teats	3291	-
improvised dildo	3288	-
sex request	3287	-
foot on balls	3282	-
tail around penis	3267	-
daddy kink	3262	-
circumcision scar	3252	-
beakjob	3213	-
dripping pussy	3210	-
group nudity	3193	-
crotchless clothing	3164	-
herm penetrating	3155	-
penis through fly	3142	-
flashing breasts	3121	-
harness gag	3121	-
scarf only	3114	-
unusual genitalia placement	3111	-
butt heart	3087	-
clitoral masturbation	3084	-
mottled genitalia	3082	-
romantic sex	3066	-
digiphilia	3062	-
casual sex	3059	-
natural breasts	3044	-
autopenetration	3043	-
translucent tentacles	3028	-
all three filled	3017	-
6 breasts	3012	-
social nudity	3011	-
bondage gloves	2989	-
herm penetrated	2979	-
pussy juice leaking	2971	-
censored vulva	2971	-
nipple lick	2970	-
sweaty penis	2963	-
imminent oral	2950	-
edging	2948	-
barely visible balls	2945	-
foreskin play	2935	-
internal oral	2923	-
holding own penis	2901	-
hyper anus	2898	-
musky balls	2888	-
train position	2886	-
crotch lines	2884	-
female rimming male	2868	-
strapon sex	2858	-
obscured sex	2853	-
vulva outline	2828	-
mommy kink	2826	-
canine dildo	2826	-
female penetrating female	2814	-
clitoral fingering	2805	-
dominant human	2779	-
autotitfuck	2768	-
holding balls	2767	-
interspecies impregnation	2764	-
prostate stimulation	2761	-
genital raphe	2728	-
brother penetrating sister	2720	-
inviting to sex	2718	-
male rimmed	2711	-
scrotal raphe	2707	-
tickle fetish	2703	-
hand on balls	2701	-
hyper areola	2680	-
prehensile penis	2670	-
mottled penis	2668	-
pregnant intersex	2649	-
half naked	2635	-
musky butt	2629	-
lipstick on penis	2626	-
crotch breasts	2620	-
glowing nipples	2616	-
penis kissing	2614	-
teratophilia	2600	-
balls in underwear	2596	-
penis focus	2592	-
kerchief only	2584	-
monotone breasts	2574	-
socks only	2568	-
hyper cum	2563	-
non-mammal vulva	2541	-
penis shaped bulge	2532	-
male rimming male	2521	-
slit penetration	2520	-
receiving pov	2514	-
ear penetration	2498	-
cum request	2496	-
tight foreskin	2495	-
big dildo	2491	-
humanoid penetrating anthro	2476	-
unused condom	2473	-
detached sheath	2461	-
sex toy background	2458	-
rimming male	2455	-
unusual penis placement	2449	-
cum on anus	2442	-
